Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score	File
11	Spectrogram 1	1	38.0	41.19900000000001	200.0	2500.0	BOAN	0.98	SMA03393_20210609_200000.wav
12	Spectrogram 1	1	40.0	41.999000000000024	200.0	2500.0	BOAN	0.89	SMA03393_20210609_200000.wav
13	Spectrogram 1	1	44.0	47.999000000000024	200.0	2500.0	BOAN	0.97	SMA03393_20210609_200000.wav
14	Spectrogram 1	1	47.2	49.19900000000003	200.0	2500.0	BOAN	0.92	SMA03393_20210609_200000.wav
15	Spectrogram 1	1	51.6	53.59899999999997	200.0	2500.0	BOAN	0.88	SMA03393_20210609_200000.wav
16	Spectrogram 1	1	53.6	55.59899999999997	200.0	2500.0	BOAN	0.9	SMA03393_20210609_200000.wav
17	Spectrogram 1	1	55.2	57.599000000000004	200.0	2500.0	BOAN	0.77	SMA03393_20210609_200000.wav
18	Spectrogram 1	1	57.2	59.19900000000003	200.0	2500.0	BOAN	0.77	SMA03393_20210609_200000.wav
1	Spectrogram 1	1	1.6	3.999000000000001	200.0	2500.0	BOAN	0.87	SMA03294_20210603_193000.wav
2	Spectrogram 1	1	7.2	10.399000000000012	200.0	2500.0	BOAN	0.93	SMA03294_20210603_193000.wav
3	Spectrogram 1	1	9.2	11.199000000000023	200.0	2500.0	BOAN	0.77	SMA03294_20210603_193000.wav
4	Spectrogram 1	1	10.0	11.999000000000024	200.0	2500.0	BOAN	0.9	SMA03294_20210603_193000.wav
5	Spectrogram 1	1	15.6	17.999000000000002	200.0	2500.0	BOAN	0.81	SMA03294_20210603_193000.wav
6	Spectrogram 1	1	17.6	19.59899999999997	200.0	2500.0	BOAN	0.9	SMA03294_20210603_193000.wav
7	Spectrogram 1	1	27.2	29.199000000000023	200.0	2500.0	BOAN	0.77	SMA03294_20210603_193000.wav
8	Spectrogram 1	1	33.2	37.599000000000004	200.0	2500.0	BOAN	0.96	SMA03294_20210603_193000.wav
9	Spectrogram 1	1	36.8	39.99900000000001	200.0	2500.0	BOAN	0.98	SMA03294_20210603_193000.wav
10	Spectrogram 1	1	38.8	40.798999999999964	200.0	2500.0	BOAN	0.87	SMA03294_20210603_193000.wav
11	Spectrogram 1	1	40.8	43.598999999999975	200.0	2500.0	BOAN	0.85	SMA03294_20210603_193000.wav
1	Spectrogram 1	1	0.0	2.798999999999978	200.0	2500.0	BOAN	0.89	SMA03406_20210601_191000.wav
2	Spectrogram 1	1	3.6	5.5989999999999664	200.0	2500.0	BOAN	0.84	SMA03406_20210601_191000.wav
3	Spectrogram 1	1	5.2	7.999000000000035	200.0	2500.0	BOAN	0.91	SMA03406_20210601_191000.wav
4	Spectrogram 1	1	10.0	11.999000000000024	200.0	2500.0	BOAN	0.8	SMA03406_20210601_191000.wav
5	Spectrogram 1	1	14.0	15.999000000000024	200.0	2500.0	BOAN	0.85	SMA03406_20210601_191000.wav
6	Spectrogram 1	1	14.8	16.798999999999968	200.0	2500.0	BOAN	0.91	SMA03406_20210601_191000.wav
7	Spectrogram 1	1	17.2	19.199000000000023	200.0	2500.0	BOAN	0.89	SMA03406_20210601_191000.wav
8	Spectrogram 1	1	18.0	19.999000000000024	200.0	2500.0	BOAN	0.84	SMA03406_20210601_191000.wav
9	Spectrogram 1	1	18.8	20.798999999999968	200.0	2500.0	BOAN	0.87	SMA03406_20210601_191000.wav
10	Spectrogram 1	1	19.6	21.59899999999997	200.0	2500.0	BOAN	0.78	SMA03406_20210601_191000.wav
11	Spectrogram 1	1	21.2	23.599	200.0	2500.0	BOAN	0.86	SMA03406_20210601_191000.wav
12	Spectrogram 1	1	22.4	25.59900000000001	200.0	2500.0	BOAN	0.97	SMA03406_20210601_191000.wav
13	Spectrogram 1	1	32.4	34.39900000000002	200.0	2500.0	BOAN	0.79	SMA03406_20210601_191000.wav
14	Spectrogram 1	1	33.2	35.19900000000003	200.0	2500.0	BOAN	0.79	SMA03406_20210601_191000.wav
15	Spectrogram 1	1	35.2	37.19900000000003	200.0	2500.0	BOAN	0.86	SMA03406_20210601_191000.wav
16	Spectrogram 1	1	37.6	39.999	200.0	2500.0	BOAN	0.98	SMA03406_20210601_191000.wav
17	Spectrogram 1	1	40.8	42.798999999999964	200.0	2500.0	BOAN	0.88	SMA03406_20210601_191000.wav
18	Spectrogram 1	1	45.2	47.599000000000004	200.0	2500.0	BOAN	0.8	SMA03406_20210601_191000.wav
19	Spectrogram 1	1	48.8	50.798999999999964	200.0	2500.0	BOAN	0.83	SMA03406_20210601_191000.wav
20	Spectrogram 1	1	49.6	52.39899999999998	200.0	2500.0	BOAN	0.95	SMA03406_20210601_191000.wav
21	Spectrogram 1	1	52.0	53.999000000000024	200.0	2500.0	BOAN	0.86	SMA03406_20210601_191000.wav
22	Spectrogram 1	1	53.6	55.59899999999997	200.0	2500.0	BOAN	0.76	SMA03406_20210601_191000.wav
23	Spectrogram 1	1	54.4	56.799	200.0	2500.0	BOAN	0.82	SMA03406_20210601_191000.wav
1	Spectrogram 1	1	1.6	3.598999999999967	200.0	2500.0	BOAN	0.82	SMA03247_20210606_200000.wav
2	Spectrogram 1	1	10.0	12.399000000000001	200.0	2500.0	BOAN	0.83	SMA03247_20210606_200000.wav
3	Spectrogram 1	1	11.6	14.398999999999978	200.0	2500.0	BOAN	0.94	SMA03247_20210606_200000.wav
4	Spectrogram 1	1	20.0	21.999000000000024	200.0	2500.0	BOAN	0.78	SMA03247_20210606_200000.wav
5	Spectrogram 1	1	29.6	31.59899999999997	200.0	2500.0	BOAN	0.77	SMA03247_20210606_200000.wav
6	Spectrogram 1	1	31.2	33.19899999999997	200.0	2500.0	BOAN	0.8	SMA03247_20210606_200000.wav
7	Spectrogram 1	1	32.0	35.599000000000046	200.0	2500.0	BOAN	0.95	SMA03247_20210606_200000.wav
8	Spectrogram 1	1	36.8	38.79900000000002	200.0	2500.0	BOAN	0.93	SMA03247_20210606_200000.wav
9	Spectrogram 1	1	37.6	39.599000000000025	200.0	2500.0	BOAN	0.79	SMA03247_20210606_200000.wav
10	Spectrogram 1	1	43.2	45.19899999999991	200.0	2500.0	BOAN	0.87	SMA03247_20210606_200000.wav
11	Spectrogram 1	1	46.4	48.39900000000002	200.0	2500.0	BOAN	0.81	SMA03247_20210606_200000.wav
12	Spectrogram 1	1	51.6	53.599000000000025	200.0	2500.0	BOAN	0.77	SMA03247_20210606_200000.wav
1	Spectrogram 1	1	6.4	8.399000000000024	200.0	2500.0	BOAN	0.78	SMA03286_20210604_200000.wav
2	Spectrogram 1	1	8.0	9.999000000000024	200.0	2500.0	BOAN	0.79	SMA03286_20210604_200000.wav
3	Spectrogram 1	1	10.0	11.999000000000024	200.0	2500.0	BOAN	0.81	SMA03286_20210604_200000.wav
4	Spectrogram 1	1	10.8	12.799000000000024	200.0	2500.0	BOAN	0.86	SMA03286_20210604_200000.wav
5	Spectrogram 1	1	12.8	14.799000000000024	200.0	2500.0	BOAN	0.88	SMA03286_20210604_200000.wav
6	Spectrogram 1	1	22.4	24.399000000000022	200.0	2500.0	BOAN	0.76	SMA03286_20210604_200000.wav
7	Spectrogram 1	1	29.6	31.999000000000002	200.0	2500.0	BOAN	0.91	SMA03286_20210604_200000.wav
1	Spectrogram 1	1	0.4	3.599000000000069	200.0	2500.0	BOAN	0.95	SMA03247_20210606_191000.wav
2	Spectrogram 1	1	4.0	5.999000000000024	200.0	2500.0	BOAN	0.92	SMA03247_20210606_191000.wav
3	Spectrogram 1	1	6.0	8.399000000000001	200.0	2500.0	BOAN	0.86	SMA03247_20210606_191000.wav
4	Spectrogram 1	1	7.2	10.398999999999955	200.0	2500.0	BOAN	0.92	SMA03247_20210606_191000.wav
